sample_id,label,X_score_scaled
307,1,0.3911074303471726
308,1,-0.27310143131801917
309,1,0.67689906937606
310,1,0.42875662830307393
311,1,1.0782052930423724
312,1,0.8193670570955507
313,1,0.6514430775763314
314,1,-0.22090595233370133
315,1,0.3271465770016356
316,1,0.3746359062414657
317,1,0.7342285298998191
318,1,-0.33085872363673147
319,1,0.3181621093076136
320,1,-0.503702768797915
321,1,-0.30647231132438624
322,1,-0.083571946153652
323,1,-0.5659522949636382
324,1,0.6131521319279999
325,1,-0.6620005329306821
326,1,-0.555042584192326
327,1,-0.39310824980245473
328,1,0.3545278118786548
329,1,-0.6162225308706657
330,1,0.1132306795249233
331,1,-0.24764543951829038
332,1,0.9115648089080135
333,1,0.2914226221230246
334,1,-0.06453343127822467
335,1,-0.6673484303675999
336,1,-0.6733380754969478
337,1,-0.1862515769424739
338,1,-0.25641599131483556
339,1,-0.6637118601104958
340,1,-0.15031370616638626
341,1,-0.7079924508881752
342,1,-0.6857451975505972
343,1,-0.7079924508881752
344,1,-0.636116709336
345,1,-0.4324687749381697
346,1,-0.47182930007388485
347,1,-0.4810276836653835
348,1,-0.7079924508881752
349,1,-0.44145324263219166
350,1,-0.18047584771060268
351,1,-0.059613365636260275
352,1,1.1866606530630655
353,1,-0.1990865307910767
354,1,-0.3325700508165451
355,1,-0.022819831270265708
356,1,0.3816951308581972
357,1,-0.6038154088170163
358,1,1.1733978674195096
359,1,1.1286894448468765
360,1,0.11151935234510964
361,1,0.5682297934578903
362,1,0.01761027335283293
363,1,-0.5411380508563396
364,1,-0.6908791790900383
365,1,0.13611968055493154
366,1,-0.5982535954826218
367,1,0.5111142488316082
368,1,-0.5745089308627067
369,1,2.993822154946331
370,1,0.2676779575031096
371,1,-0.7079924508881752
372,1,2.158052743504816
373,1,-0.04913148665990133
374,1,0.5395650631960109
375,1,-0.4453037287867725
376,1,0.26532488263086573
377,1,-0.48209726315276696
378,1,0.1649983267142877
379,1,-0.163148660014989
380,1,-0.7079924508881752
381,1,-0.44016974724733143
382,1,-0.31909334927551225
383,1,-0.6309827277965587
384,1,-0.3282917328670109
385,1,-0.07736838512682735
386,1,-0.27802149695998346
387,1,-0.29770175952784106
388,1,-0.15908425796293146
389,1,0.7325172027200054
390,1,-0.4005953062141397
391,1,-0.22882084054033971
392,1,1.2593920582051477
393,1,0.1718436354335425
394,1,0.8396890673558381
395,1,0.9541340725058794
396,1,0.2454307041655315
397,1,0.6247035903917423
398,1,-0.05405155230186572
399,1,-0.34626066825505475
400,0,-0.6515186539543232
401,1,-0.1926690538667753
402,1,-0.1441101451395616
403,1,0.3213708477697643
404,1,2.161261481966967
405,1,1.0707182366306875
406,1,0.012262375915915122
407,1,-0.6309827277965587
408,1,-0.5807124918895314
409,1,0.008411889761334307
410,1,0.37634723342127935
411,1,-0.6104468016387944
412,1,-0.24144187849146573
413,1,0.06638309797752336
414,1,-0.44872638314639995
415,0,-0.06923958102271231
416,0,-0.7079924508881752
417,0,-0.7079924508881752
418,0,-0.7079924508881752
419,0,-0.6215704283075835
420,0,-0.698366235501723
421,0,-0.4897982354619287
422,0,-0.30561664773447944
423,0,-0.5864882211214026
424,0,-0.6502351585694629
425,0,-0.6395393636956272
426,0,-0.539426723676526
427,0,-0.07437356256215337
428,0,-0.6386837001057204
429,0,-0.4780328611007095
430,0,-0.6887400201152711
431,0,-0.4521490375060273
432,0,-0.2651865431113808
433,0,-0.7079924508881752
434,0,-0.6515186539543232
435,0,-0.39225258621254794
436,0,-0.679113804728819
437,0,-0.7079924508881752
438,0,-0.597397931892715
439,0,-0.3017661615798986
440,0,-0.7079924508881752
441,0,-0.6998636467840601
442,0,-0.6868147770379807
443,0,-0.7079924508881752
444,0,-0.7079924508881752
445,0,-0.7079924508881752
446,0,-0.61472511958832865
447,0,-0.42305647544919445
448,0,-0.3528920610768328
449,0,-0.6908791790900383
450,1,1.2397117956372903
451,0,-0.6771885616515286
452,0,-0.23053216772015336
453,0,-0.46755098212435053
454,0,-0.7079924508881752
455,0,-0.7079924508881752
456,0,-0.5291587605976438
457,1,-0.5372875647017588
458,1,-0.5240247790582027
459,1,-0.692590506269852
460,1,-0.05319588871195889
461,1,-0.3665826785153424
462,1,0.1010374733687507
463,1,-0.3310726395342081
464,1,-0.6267044098470246
465,1,1.401860045924638
466,1,1.0260098140580547
467,1,-0.4127885123703122
468,1,1.230299496148315
469,1,-0.7079924508881752
470,1,2.059865346563005
471,1,-0.6716267483171341
472,1,0.8873923124931451
